"Platform","Program or API name","API category","Official documentation","Current verification date","Supported markets","Vietnam availability","Access level","Authentication","Link generation","Product data","Voucher or campaign data","Click reporting","Conversion reporting","Order reporting","Commission reporting","Webhooks or postbacks","Polling or report export","Sub-ID support","Rate limits","Sandbox","Attribution window","Approval requirements","Integration limitations","Evidence classification","Confidence level"
"Alibaba.com / 1688","Alibaba Open Platform and 1688 Open Platform","B2B seller/sourcing/open-platform API","https://aop.alibaba.com/","2026-07-23","Alibaba B2B/global and 1688/mainland contexts","Vietnam use depends on product and partner program","Approval-based","Signed app credentials and authorization by platform; exact product varies","No public cashback publisher link API verified","Product/sourcing data by approved API","Promotions by approved API","No public affiliate click reporting verified","No public affiliate conversion reporting verified","Seller/trade/order functions by permission","No public publisher commission API verified","Product-specific","API polling","Unknown","Per API","Unknown","Unknown","Company/app approval varies","B2B seller/sourcing APIs are not Taobao Alliance affiliate APIs","Officially documented","Medium"
"AliExpress","AliExpress Portals Affiliate Program / designated APIs","Affiliate publisher program; approval-gated API","https://cdn.contract.alibaba.com/terms/b_platform_service_agreement/20250305142526766/20250305142526766.html?lng=en","2026-07-23","Global program; exact current market list not public in reviewed material","Likely accessible cross-border; exact Vietnam eligibility Unknown","Approval-based; portal protected","Portal credentials; current public authentication details not verified","Portal and designated APIs are contractually recognized","Current public method inventory not verified","Current public method inventory not verified","Unknown","Affiliate reporting is referenced but current public API not verified","Unknown","Affiliate commissions through Portals","Unknown","Portal reports; API details protected","Tracking ID is commonly referenced but current official public parameter docs were not accessible","Unknown","Unknown","Unknown","Portals account and API approval; complete business information","Older public affiliate API article is deprecated; do not rely on reseller documentation","Officially documented","Medium"
"AliExpress","AliExpress Open Platform seller APIs","Marketplace seller API","https://developer.alibaba.com/docs/doc.htm?articleId=120678&docType=1&treeId=727","2026-07-23","AliExpress seller markets","Cross-border sellers/partners subject to approval","Approval and seller authorization","Signed app credentials and seller authorization","Not an affiliate link API","Seller products","Seller promotion functions by scope","No affiliate click reporting","No affiliate conversion reporting","Seller orders and fulfillment","No publisher commission reporting","Method-specific","REST polling and SDKs","Not affiliate sub-ID","Per API","Unknown","Not applicable","App/seller approval","Seller order access does not provide publisher attribution","Officially documented","High"
"JD.com","JD Union","Affiliate publisher API","https://jos.jd.com/jdunion","2026-07-23","Mainland China focused","Constrained/Unknown","Application and permission based","JOS app credentials/signature; details in portal","Promotion-link APIs","Promotion goods data","Coupon/promotion data","Unknown","Union order queries","Orders and status changes; recent-history limitations documented","Commission fields in order queries","No general public webhook verified","Order queries and reports","Position/sub-union tracking by permission; exact fields require current method docs","Per method/permission","Unknown","Unknown","Union account/app/permission; permissions may be withdrawn for inactivity/low performance","Mainland program and approval constraints; not a seller API","Officially documented","High"
"Pinduoduo","Duoduo Jinbao","Affiliate publisher API/program","https://funimg.pddpic.com/ddjb/2020-12-04/4f8c0c46-e2c3-40e4-bfee-5ac05ba96607.pdf","2026-07-23","Mainland China","Constrained/Unknown","Approval/partner based; current public details not verified","Unknown","Older official guide references links/API/SDK","Older official guide references product library","Older official guide references promotion resources","Unknown","Unknown","Unknown","Unknown","Unknown","Likely polling; current docs inaccessible","Unknown","Unknown","Unknown","Unknown","Mainland account/application requirements not currently verified","Evidence is official but old; current portal/API requirements unavailable; resellers are not official","Officially documented","Low"
"Amazon","Amazon Associates + Creators API","Product Advertising API for publishers","https://affiliate-program.amazon.com/creatorsapi/docs/","2026-07-23","Documented marketplaces include US; CA; MX; BR; UK; EU locales; IN; JP; AU; SG; AE; SA; TR","No Vietnam marketplace; cross-border participation depends on Associates locale approval","Approval and sales-performance gated","OAuth 2.0 bearer token; partnerTag in requests","Product URLs and affiliate tagging through catalog data","SearchItems; GetItems; GetVariations; GetBrowseNodes","Offers and catalog data; not campaign management","No click reporting API documented","No conversion reporting API documented","No customer order API; Associates reports only","Associates reporting portal/downloads","No publisher conversion webhook","CSV/XLSX/XML reports from Associates; API for product catalog","partnerTag; additional tracking IDs managed in Associates","Initial 1 TPS and 8,640 requests/day; performance-scaled up to documented caps; token endpoint 300/5 minutes","No sandbox documented","Associates locale terms; not a Creators API field","Active Associates account; target locale; 10 qualifying sales in trailing 30 days for API access","PA-API 5.0 retired 2026-05-15; Creators API is catalog/link data, not conversion ingestion","Officially documented","High"
"eBay","eBay Partner Network + Buy Browse API","Affiliate program plus product/buy API","https://developer.ebay.com/api-docs/buy/browse/overview.html","2026-07-23","eBay marketplace IDs; affiliate support varies","Vietnam has no dedicated marketplace; EBAY_SG does not support itemAffiliateWebUrl","Developer/EPN approval; Buy APIs production eligibility","OAuth 2.0 client credentials; affiliate context header","itemAffiliateWebUrl where supported; EPN tracking links","Browse search/item data","Deals/marketing surfaces are separate APIs","EPN portal reporting; no Browse click report","EPN transaction reports; not Browse API","EPN transaction reports; Buy order APIs serve different use cases","EPN reports","No public EPN conversion webhook verified","EPN downloadable reports","customid/reference ID supported","Per API/application; current values in developer rate-limit console","Sandbox exists for many eBay APIs; affiliate behavior varies","Program/market specific; not verified here","eBay developer and EPN enrollment; Buy production eligibility","Browse is product/link generation, not EPN conversion API; affiliate URL unsupported in some SEA marketplaces","Officially documented","High"
"Rakuten Advertising","Publisher APIs","Affiliate-network API","https://pubhelp.rakutenadvertising.com/hc/en-us/articles/5949824361485-Advanced-Reports-API","2026-07-23","Global advertiser network; campaign coverage varies","Possible through network/advertiser approvals; no Vietnam guarantee","Publisher account and token based","Access token; some reports also use security token","Link tools exist; exact public Link API scope not inventoried","Product feeds depend on advertisers","Offers and advertiser data through network tools","Reporting APIs","Events/commission reports","Transaction and event reports","Commission and payment reports","No general publisher conversion webhook verified","Report APIs and downloads","Network tracking parameters available; exact field limits not inventoried","Advanced reports: 500/day/report and 1 request/minute","Unknown","Advertiser/program specific","Publisher account; advertiser relationships","Report-oriented integration can be delayed; advertiser coverage varies","Officially documented","High"
"Coupang","Coupang Partners","Affiliate publisher program","https://partners.coupangcdn.com/partners-guide/partners-guide-20250324160743.pdf","2026-07-23","Korea-focused","No official Vietnam support verified","Partner account; API access not publicly verified","Portal session; current public API authentication not verified","Portal link generation","Portal product selection","Portal campaigns","Portal reports","Portal performance reports","Portal order-derived reports","Portal commission reports","No official public publisher webhook verified","Portal reports","Tracking IDs/partner codes in portal; exact API support Unknown","Unknown","Unknown","Unknown","Korean account and program requirements; exact current criteria require portal","Current public affiliate API documentation not verified; unofficial SDKs are not evidence","Officially documented","Medium"
"Coupang","Coupang Open API","Marketplace seller API","https://developers.coupangcorp.com/hc/en-us","2026-07-23","Korea and Taiwan seller contexts","No","Seller/partner approval","HMAC with issued access/secret credentials","Not affiliate link generation","Seller catalog","Seller promotions by scope","No affiliate click data","No affiliate conversion data","Seller orders/fulfillment/returns","No publisher commissions","Method-specific","API polling","Not affiliate sub-ID","Per API","Unknown","Not applicable","Wing/seller and API-key approval","Seller API must not be used as Coupang Partners reporting","Officially documented","High"
"Temu","Temu Affiliate Program","Affiliate publisher program","https://www.temu.com/uy/affiliate_recruit.html","2026-07-23","Official page markets the program in 80+ countries","Exact Vietnam eligibility Unknown","Enrollment/approval","Portal session; public API authentication not documented","Portal sharing links","Portal product/promotional materials","Program promotions","Portal performance; no public API verified","Portal conversions; no public API verified","Portal order-derived reporting","Portal commissions","No public webhook/postback verified","Portal reports","Referral/tracking links; exact sub-ID support Unknown","Unknown","Unknown","30-day cookie on reviewed official recruitment page","Affiliate application and traffic/channel review","No official publisher API verified; official Partner API should not be assumed affiliate","Officially documented","Medium"
"Temu","Temu Partner Platform","Marketplace partner/seller API","https://partner.temu.com/documentation","2026-07-23","Markets supported by partner program","Vietnam availability depends on partner category","Partner-only/approval based","Partner credentials; documentation access controls vary","No public evidence that it generates affiliate links","Partner catalog/operations by category","Partner functions by category","No affiliate click reporting established","No affiliate conversion reporting established","Seller/partner orders by scope","No publisher commission reporting established","Method-specific","API polling","Not established","Per API","Unknown","Not applicable","Partner onboarding","Do not treat partner/seller API as Temu Affiliate API","Officially documented","Medium"
"AccessTrade","Publisher API Vietnam","Affiliate-network API","https://developers.accesstrade.vn/","2026-07-23","Vietnam network; additional regional operations exist","Yes","Publisher account/token; campaign approvals vary","Authorization: Token","POST product-link creation; campaign tracking links","Cashback campaign/product link inputs; merchant product coverage varies","Campaign and cashback-campaign endpoints","Click fields within transaction records; dedicated click-report endpoint not inventoried","Transaction API","Transaction API with order fields/status/timestamps","Commission and approval/rejection fields","No public publisher webhook verified","Polling with update-time filters and pagination","sub1 through sub4 documented; some widgets expose additional fields","Transactions endpoint documented at 10 requests/minute","No sandbox verified","Campaign-specific cookie_duration; first/last click depends on campaign","Publisher signup; campaign registration/approval","Polling-oriented; normalize per-campaign rules and status codes","Officially documented","High"
"AccessTrade","TikTok Shop Product Feed V2 through AccessTrade","Affiliate-network product and link API","https://developers.accesstrade.vn/api-publisher-vietnamese/tich-hop-api-publisher-at-cho-chien-dich-tiktok-shop/version-2-updated-version/tiktok-product-search-v2","2026-07-23","Vietnam","Yes","Publisher token and relevant campaign approval","Authorization: Token","POST /v2/tiktokshop_product_feeds/create_link","GET /v2/tiktokshop_product_feeds with product search; price; shop; inventory; sales and commission fields","AccessTrade campaign data; no separate voucher field verified for this V2 endpoint","Transaction records can include click fields; no dedicated TikTok click API verified","Use AccessTrade transaction API","Use AccessTrade order-list and order-products APIs","Product feed exposes estimated commission; transaction API is authoritative for recorded publisher commission","No public publisher webhook verified","Cursor/page-token product polling plus AccessTrade transaction/order polling","sub1 through sub4 accepted by the V2 create-link request","No endpoint-specific public quota verified","No production-equivalent sandbox entitlement verified","Campaign-specific; not documented on the V2 product-feed page","AccessTrade publisher approval and campaign eligibility","This is an affiliate-network integration, not direct TikTok Shop Affiliate API; production schema and quota must be contract-tested","Officially documented","High"
"AdFlex Vietnam","AdFlex CPO publisher platform","Affiliate/CPO network","https://cpo.adflex.vn/register","2026-07-23","Vietnam","Yes","Publisher registration and review","Portal account; current public API auth not verified","Portal links; old guide mentions API-generated offers","Old guide mentions offer feed","Campaign/offers","Old guide mentions postback; current details not verified","Portal conversions","Portal order/lead records","Portal commissions","Publisher postback documented only in an outdated guide","Portal reports; old API references","Old guide includes tracking parameters; current support Unknown","Unknown","Unknown","Offer specific","Identity; bank and traffic information required","Current technical docs not publicly verified; old guide must be treated as outdated","Officially documented","Low"
"MasOffer","MasOffer publisher platform","Affiliate network","https://masoffer.com/","2026-07-23","Vietnam","Yes","Publisher account; campaign rules","Portal session; no public publisher API authentication verified","Portal deep/tracking links","Portal campaign product data","Campaigns and promotions","Portal reporting","Portal reporting","Portal order-derived reporting","Portal commissions","Advertiser-to-network conversion APIs exist; publisher webhook not verified","Portal reports","Tracking parameters likely portal supported; official current details Unknown","Unknown","Unknown","Campaign specific; site describes last-click","Publisher enrollment; campaign conditions","Public technical docs reviewed are advertiser ingestion, not a publisher API","Officially documented","Medium"
"Ecomobi","Ecomobi affiliate platform","Affiliate network/social-selling platform","https://ecomobi.com/help-center/","2026-07-23","Southeast Asia and other markets represented","Yes/Regional presence confirmed; exact product eligibility varies","Account and campaign approval","Portal/app session; public API auth not verified","Portal/app affiliate links","Platform catalog by program","Campaigns and offers","Real-time tracking marketed; public API not verified","Portal conversion reporting","Portal order-derived reporting","Portal commission reporting","No public publisher webhook verified","Portal reports","Unknown","Unknown","Unknown","Campaign specific","Account/campaign approval","No current official public publisher API documentation found","Officially documented","Medium"
"Impact","Impact.com Partner API","Affiliate-network/partnership API","https://integrations.impact.com/impact-publisher","2026-07-23","Global network; brand contracts define availability","Yes in principle; advertiser approval required","Partner account/API credentials; contract permissions","HTTP Basic using AccountSID and AuthToken","Tracking-link endpoint; deep links; vanity links","Catalogs by brand/program","Programs; ads; catalogs","Click/export APIs and reports","Actions API and lifecycle postbacks","Actions may include order and item data","Payout and action commission data","Action lifecycle postbacks; other postbacks","REST polling; reports; asynchronous exports","SubId1-3; SharedId; additional tracking fields","Endpoint/account specific; no single public global value","No general sandbox documented","Program/brand specific","Impact account; brand program acceptance; API access","Contracts control fields; postbacks and polling must be deduplicated","Officially documented","High"
"Awin","Awin Publisher API","Affiliate-network API","https://help.awin.com/apidocs/introduction-1","2026-07-23","Global network","Yes in principle; advertiser acceptance varies","Publisher account/token","OAuth2 bearer/user token; transaction-creation API differs","Link Builder, including bulk generation","Product feeds","Offers; programmes; commission groups","Performance reports","Transactions API","Transactions API","Commission groups and performance/transaction reports","No general publisher conversion webhook verified in reviewed docs","REST polling and reports","clickref tracking fields supported by Awin links; exact limits are endpoint specific","20 calls/minute/user for documented APIs","No sandbox verified","Advertiser/program specific","Publisher account; advertiser/program acceptance","Rate limit is modest; advertiser rules vary; transaction creation is advertiser-side","Officially documented","High"
"CJ Affiliate","CJ APIs","Affiliate-network API","https://developers.cj.com/","2026-07-23","Global network","Yes in principle; advertiser acceptance varies","Publisher/advertiser account and developer credentials","Personal access token/OAuth mechanism per official developer portal","Link Search REST","Product Feed GraphQL","Advertiser and link data","Publisher reporting tools; API scope varies","Commission Detail GraphQL","Commission Detail data","Commission details","Advertiser-side conversion integration supports file/API patterns; publisher postback not generally documented","GraphQL/REST and product feeds","sid/custom tracking supported in CJ links; exact rules program specific","Link Search documented at 25 requests/minute","No general sandbox verified","Advertiser/program specific","CJ account; advertiser relationships; approved developer access","Publisher APIs and advertiser conversion-ingestion interfaces are separate","Officially documented","High"
"Partnerize","Partner API","Affiliate-network API","https://api-docs.partnerize.com/partner/","2026-07-23","Global network","Yes in principle; brand approval varies","Partner account and permission-scoped API keys","HTTP Basic application_key:user_api_key","Tracking links and deep links","Campaign creatives/products where exposed","Campaigns and creatives","Clicks and reports","Conversions API/reports","Conversion/order reports","Commission and payable reports","Partner APIs are report/poll oriented; brand event integrations differ","REST polling; asynchronous CSV exports","pubref and campaign tracking references","Dynamic response headers; max page size 300; 429 handling","No general sandbox verified","Campaign specific","Partner account; campaign acceptance; API permissions","Cursor pagination, export jobs, and brand-specific rules add connector complexity","Officially documented","High"
